nominativo,regione,sesso,città_nascita,lat,lon,scheda,link,id
Dino Candusso,Friuli V.G.,M,Majano (UD),46.18243,13.06109,"Dino Candusso Nato a Pers di Majano (UD) il 28 Ottobre 1926, studente Nome di battaglia “Athos”, divisione Garibaldi Sud Arzino, Battaglione Stalin È autore dell’inno alla libertà che canta a fine intervista Con altri partigiani friulani è protagonista del documentario “Eravamo Ragazzi. Sentieri di coraggio”, di Alessandra Montico e David Da Ros L’intervista è stata realizzata nel 2019",https://www.noipartigiani.it/dino-candusso/,505240652
Carmelina Scaringi,Emilia-R.,F,Finale Emilia (MO),44.83248,11.29611,Carmelina Scaringi Nata a Finale Emilia (MO) il 19 Gennaio 1924 Nei giorni della Liberazione ha contribuito a evitare il bombardamento del paese esponendo lenzuoli bianchi sui tetti e alle finestre. E per questo ha personalmente ricevuto l’omaggio del Generale Harold Alexander,https://www.noipartigiani.it/carmelina-scaringi/,516771431
Marisa Rodano,Lazio,F,Roma,41.89332,12.48293,"Marisa Cinciari Rodano Nata a Roma il 21 Gennaio 1921, studentessa Ha militato nel Movimento dei Cattolici Comunisti, nei Gruppi di difesa della donna (GDD) e nell’Udi (Unione donne Italiane) Dopo la Guerra è stata parlamentare del PCI, parlamentare europea e prima donna vicepresidente della Camera",https://www.noipartigiani.it/marisa-rodano/,514297092
Franco Sgrena,Piemonte,M,Masera (VB),46.13694,8.32439,"Franco Sgrena Nato a Masera (VB) 27 Gennaio 1926 Nome di battaglia “Ranca”, Brigate Perotti e Matteotti Sulla sua storia è stato scritto il libro “La ragazza che aveva paura del temporale” di Benito Mazzi L’intervista è stata realizzata nell’ottobre 2019",https://www.noipartigiani.it/franco-sgrena/,517190399
Egeo Mantovani,Emilia-R.,M,Soliera (MO),44.7384,10.92211,"Egeo Mantovani Nato a Limidi di Soliera (MO) il 12 Luglio 1921, contadino e meccanico Nome di battaglia “Giorgio” Entrato nel 1946 alla Magneti Marelli di Sesto San Giovanni, nel dopoguerra ha svolto una lunga attività di sindacalista",https://www.noipartigiani.it/egeo-mantovani/,518245127
Giacomo Scaramuzza,Emilia-R.,M,Piacenza,45.05267,9.69187,"Giacomo Scaramuzza Nato a Piacenza il 14 Gennaio 1923, studente Nome di battaglia “Giorgio”, Banda dell’Istriano, Brigata Mazzini in Val Nure Dopo la guerra ha fatto il giornalista contribuendo a rifondare il quotidiano di Piacenza, “La Libertà”",https://www.noipartigiani.it/giacomo-scaramuzza/,506054540
Annamaria Caproni,Liguria,F,Genova,44.40726,8.93386,"Annamaria Caproni Zerega Nata a Genova il 18 Aprile 1927, studentessa Staffetta",https://www.noipartigiani.it/annamaria-zerega/,525060557
Germana Masi,Toscana,F,Palazzuolo sul Senio,44.11361,11.54714,"Germana Masi Nata a Palazzuolo sul Senio (FI) il 10 Gennaio 1927, dattilografa e commessa Ha curato il partigiano ferito Armando Cervellati, nome di battaglia Pampurio, 36ª Brigata Garibaldi Bianconcini e dopo la guerra si sono sposati",https://www.noipartigiani.it/germana-masi/,503750187
Antonietta Chiovini,Piemonte,F,Arizzano (VB),45.95267,8.58318,Antonietta Chiovini Nata a Arizzano (VB) il 21 Novembre 1926 Nome di battaglia “Diciassette” Staffetta Infermiera nella Brigata Cesare Battisti in Val Grande L’intervista è stata realizzata nell’ottobre 2019,https://www.noipartigiani.it/antonietta-chiovini/,505622704
Piera Pattani,Lombardia,F,Legnano (MI),45.596,8.91924,"Piera Pattani Nata a Legnano (MI) il 19 Febbraio 1927, operaia Staffetta, 182ª Brigata Garibaldi-Mauro Venegoni",https://www.noipartigiani.it/piera-pattani/,518696145
Carlo Bretzel,Veneto,M,Marostica (VI),45.74501,11.65831,"Carlo Bretzel Nato a Marostica (VI) il 5 Settembre 1927, studente Nome di battaglia “Sauro” Battaglione Bassano, Brigata Giovane Italia Sulla sua esperienza partigiana ha scritto il libro “Fazzoletto rosso al collo e arma in pugno” L’intervista è stata realizzata nel novembre 2019",https://www.noipartigiani.it/carlo-bretzel/,505595656
Anellino Manocchi,Marche,M,Orciano di Pesaro,43.68884,12.96425,"Anellino Manocchi Nato a Orciano di Pesaro (PU) 22 ottobre 1920, insegnante elementare Sottotenente 18° Reggimento Fanteria Divisione Acqui Internato Militare Italiano Ha scritto il libro “600 volte no. Memorie di un prigioniero di guerra”",https://www.noipartigiani.it/anellino-manocchi/,503751991
Giglio Mazzi,Emilia-R.,M,Campogalliano (MO),44.69131,10.84153,"Giglio Mazzi Nato a Campogalliano (MO) il 1927, operaio 37ªBrigata Gap, distaccamento Katiuscia Nome di battaglia “Febo”, “Alì” Sulla sua esperienza ha scritto il libro “Non eravamo terroristi” a cura di Denis Fontanesi e Mirco Zanoni",https://www.noipartigiani.it/giglio-mazzi/,503746085
Maria Rabbini,Marche,F,Cantiano (PU),43.47232,12.62886,"Maria Rabbini Nata nel 1929 a Cantiano (PU), contadina Staffetta La sorella Santina Rabbini, staffetta della 5ª Brigata Garibaldi Pesaro, fu uccisa in un bombardamento il 31 luglio 1944. Uno degli episodi raccontato da Maria si riferisce all’uccisione di Francesco Tumiati “Francino” , Medaglia d’oro alla memoria, Batric Bulatovic , Djuro Kuzeta La sua testimonianza è contenuta nel libro “Riconoscersi partigiane e partigiani” di Chiara Donati e Marco Biancucci L’intervista è stata realizzata nel 2020",https://www.noipartigiani.it/maria-rabbini/,511680648
Elsa Pelizzari,Lombardia,F,Roè Volciano (BS),45.62402,10.49139,"Elsa Pelizzari Nata a Roè Volciano (BS) il 4 Aprile 1929, studentessa Nome di battaglia “Gloria” Gruppo NiKo Fiamme Verdi Staffetta per la Brigata Perlasca, 122ª Brigata Garibaldi, 7ª Brigata Matteotti L’intervista è stata realizzata nell’ottobre 2019",https://www.noipartigiani.it/elsa-pellizzari/,508019820
Assunta Masotti,Emilia-R.,F,Conventello (RA),44.51235,12.11581,"Assunta Masotti Nata a Conventello (RA) il 25 Luglio 1922, contadina Staffetta per il comandante Arrigo Boldrini, “Bulow”",https://www.noipartigiani.it/assunta-masotti/,503745606
Rambalda Magnaschi,Emilia-R.,F,Gropparello (PC),44.83278,9.73356,Rambalda Magnaschi Nata a Gropparello (PC) il 7 Maggio 1923 Staffetta Il marito Fermo Freschi è stato comandante della 2ª Brigata di manovra “E. Gallinari” ed è stato decorato con la Medaglia d’argento per la liberazione di Piacenza L’intervista è stata realizzata nel luglio 2019,https://www.noipartigiani.it/rambalda-magnaschi/,503750853
Cesare Nobile,Lombardia,M,Milano,45.46419,9.18963,"Cesare Nobile Nato a Milano l’11 Luglio 1929, operaio meccanico Staffetta Sulla sua esperienza ha scritto il libro “Avevo 14 anni”",https://www.noipartigiani.it/cesare-nobile/,519991550
Nara Lotti,Emilia-R.,F,Santa Sofia (FC),43.94501,11.91139,Nara Lotti Nata a Santa Sofia (FC) il 18 Giugno 1928 Staffetta 8ª Brigata Garibaldi Romagna,https://www.noipartigiani.it/nara-lotti/,521365389
Libero Cosci,Toscana,M,Cascina (PI),43.68243,10.50153,Libero Cosci Nato a Cascina (PI) il 20 Agosto 1920 Sergente maggiore nella divisione Acqui a Corfù e Cefalonia sopravvissuto al massacro dei soldati italiani nel settembre 1943 L’intervista è stata realizzata nell’ottobre 2019,https://www.noipartigiani.it/libero-cosci/,508972213
Gennaro Di Paola,Campania,M,Napoli,40.83593,14.24878,"Gennaro Di Paola Nato a Napoli il 1 Ottobre 1922, aviere Partecipò alle Quattro Giornate di Napoli che liberarono la città tra il 27 e il 30 settembre 1943 L’intervista è stata realizzata nel novembre 2019",https://www.noipartigiani.it/gennaro-di-paola/,511977905
Aurelio Legnani,Lombardia,M,Saronno (VA),45.62568,9.03611,"Aurelio Legnani Nato a Saronno (VA) il 3 Settembre 1926, operaio Nome di battaglia “Gatto” 183ª Brigata Garibaldi, V Distaccamento saronnese SAP",https://www.noipartigiani.it/aurelio-legnani/,521345265
Leonida Ceccoli,Emilia-R.,M,Lugo (RA),44.42136,11.91235,"Leonida Ceccoli Nato a Lugo (RA) 1 Ottobre 1924 8ª Brigata Garibaldi, 28ª Brigata Garibaldi di Arrigo Boldrini, “Bulow”",https://www.noipartigiani.it/leonida-ceccoli/,511100761
Valentino Gennarini,Puglia,M,Taranto,40.46824,17.24355,Valentino Gennarini Nato a Taranto il 14 Aprile 1928 Staffetta,https://www.noipartigiani.it/valentino-gennarini/,518561665
Carlo Comi,Lombardia,M,Lomagna (LC),45.67232,9.37547,Carlo Comi Nato a Lomagna (LC) il 5 Gennaio 1924 V° Distaccamento 104ª Brigata Garibaldi L’intervista è stata realizzata nel dicembre 2019,https://www.noipartigiani.it/carlo-comi/,511201071
Piergiorgio Betti,V. d'Aosta,M,Torino,45.06775,7.68249,"Piergiorgio Betti Nato a Torino il 6 Ottobre 1930 Ha operato come staffetta per la Banda Lexert in Val d’Aosta e poi nella 183ª Brigata Garibaldi Nel dopoguerra è stato giornalista dell’Unità e ha scritto diversi libri sulla Resistenza: “Quelli della Morgnetta”, “Fucili e fiamme all’ombra della Charmontane” “Appuntamenti con i fuorilegge” L’intervista è stata realizzata nel novembre 2019",https://www.noipartigiani.it/piergiorgio-betti/,507586504
Fiorello Fabbri,Toscana,M,Prato,43.88056,11.09695,"Fiorello Fabbri Nato a Prato il 13 Giugno 1928 Nome di battaglia “Fiore” Brigata Buricchi Gap Sulla sua vicenda Giusy Caminiti ha scritto il libro “Né fascista, né soldato”",https://www.noipartigiani.it/fiorello-fabbri/,512021067
Paolo Orlandini,Marche,M,Ancona,43.61583,13.51891,"Paolo Orlandini Nato ad Ancona il 26 gennaio 1924 Nome di battaglia “Millo” Comandante della Brigata Basso Musone e del gruppo Cingoli Volontario nel Nuovo Esercito Italiano, Divisione “Cremona” Medaglia d’argento al valor militare Sulla sua storia ha scritto il libro “Da Balilla a partigiano” La sua testimonianza è raccolta nel libro “Noi Partigiani” L’intervista è stata realizzata nell’ottobre 2019",https://www.noipartigiani.it/paolo-orlandini/,509834604
Ettore Buzzacchi,Lombardia,M,Cadorago (CO),45.72251,9.03459,"Ettore Buzzacchi Nato a Cadorago (CO) il 19 Dicembre 1926, studente Ha aiutato ebrei e sbandati a passare il confine svizzero Arruolato nella Finanza, ha svolto un ruolo di informatore dei partigiani L’intervista è stata realizzata nel luglio 2019",https://www.noipartigiani.it/ettore-buzzacchi/,504825061
Egidio Borio,Piemonte,M,Costigliole d'Asti,44.78287,8.18139,"Egidio Borio Nato a Costigliole d’Asti (AT) il 15 Aprile 1926, studente Nome di battaglia “Gigi” Divisione autonoma Monferrato, Divisione Patria L’intervista è stata realizzata nel febbraio 2020",https://www.noipartigiani.it/egidio-borio/,510635060
Giulio Quazzola,Piemonte,M,Varallo Sesia (VC),45.81268,8.2562,"Giulio Quazzola Nato a Varallo Sesia (VC) il 3 Maggio1928, operaio meccanico Nome di battaglia “Giulio” 84ª Brigata Garibaldi Strisciante Musati Croce al merito di guerra Ha descritto la sua esperienza in “Un partigiano racconta”",https://www.noipartigiani.it/giulio-quazzola/,506169633
Viera Geminiani,Emilia-R.,F,Alfonsine (RA),44.50632,12.04355,"Minny (Viera) Geminiani Nata a Alfonsine (RA) il 19 Settembre 1926, contadina e mondina Staffetta Con altre cinque donne della Resistenza è protagonista del documentario “Bandite” di Alessia Proietti e Giuditta Pellegrini L’intervista è stata realizzata nel novembre 2019",https://www.noipartigiani.it/viera-geminiani/,515397558
Giorgio Mori,Toscana,M,Carrara (MS),44.07727,10.09848,"Giorgio Mori Nato a Carrara (MS) l’11 Gennaio 1923 Ha militato prima in una formazione di Giustizia e Libertà, poi nella Brigata Garibaldi “Gino Menconi”",https://www.noipartigiani.it/giorgio-mori/,503748646
Laura Wronowski,Liguria,F,Milano,45.46419,9.18963,"Francesca Laura Wronowski Nata a Milano il 1 Gennaio 1924, studentessa Nome di battaglia “Laura”, “Kyky” Brigata Giustizia e Libertà “Giacomo Matteotti” È la nipote di Giacomo Matteotti Era fidanzata con Sergio Kasman, “Marco”, capo di stato maggiore del Comando piazza di Milano per Giustizia e Libertà, venduto da una spia e ucciso a Milano il 9 dicembre 1944. Gli è stata conferita la Medaglia d’oro alla memoria Sulla storia di Laura , Zita Dazzi ha scritto il libro “Con l’anima di traverso” La sua testimonianza è raccolta nel libro “Noi, Partigiani” L’intervista è stata realizzata nell’aprile 2019",https://www.noipartigiani.it/laura-wronowski/,524228117
Riccardo Vinciguerra,Toscana,M,Redange (Francia),49.33327,5.91874,"Riccardo Vinciguerra Nato a Redange (FRANCIA) il 26 Agosto 1931, Nome di battaglia “Rigo” Brigata Garibaldi ” Leone Borrini” che operava in Lunigiana Sulle vicende della Resistenza ha scritto “I ragazzi di ieri” e “Elisa la partigiana di Monza e i suoi compagni”",https://www.noipartigiani.it/riccardo-vinciguerra/,518695668
Gilberto Malvestuto,Abruzzo,M,Sulmona (AQ),42.04944,13.92556,"Gilberto Malvestuto Nato a Sulmona (L’Aquila) il 17 aprile 1921, studente Sottotenente, comandante dei mitraglieri della Brigata Maiella Decorato con Croce di guerra Ha raccolto i suoi ricordi in “Sulle ali della memoria: per non dimenticare” La sua testimonianza è raccolta nel libro “Noi Partigiani” L’intervista è stata realizzata ad ottobre 2019",https://www.noipartigiani.it/gilberto-malvestuto/,503751467
Anna Lucia Rossi Melis,Umbria,F,Spoleto (PG),42.73545,12.7364,Anna Lucia Rossi Melis Nata a Spoleto il 25 febbraio 1928 Staffetta Il futuro marito Ernesto Melis comandava la Banda Melis che operava tra Spoleto e la Valnerina,Non trovato nel Foglio3,#N/A
Enrico Torreri,Piemonte,M,Dronero (CN),44.46637,7.3622,"Enrico Torreri Nato a Dronero (CN) il 3 settembre 1925, studente Nome di battaglia “Ricu” Giustizia e Libertà, Volante della Valle Varaita (con Luigina Acchiardi)",https://www.noipartigiani.it/luigina-acchiardi-e-enrico-torreri/,503109126
Quinto Gasperini,Emilia-R.,M,S. Giovanni in P.,44.64015,11.18727,"Quinto Gasperini Nato a San Giovanni in Persiceto (BO) il 15 Settembre 1925, operaio Nome di battaglia “Giacomo” 63ª Brigata Garibaldi Bolero",https://www.noipartigiani.it/quinto-gasperini/,518537290
Angela Carla Roi,Lombardia,F,Dorio (LC),46.10159,9.31883,"Angela Carla Roi Nata a Dorio (LC) il 17 Febbraio 1929 Staffetta per la Brigata Rocciatori di Riccardo Cassin Uno degli episodi a cui fa riferimento è l’impiccagione di Adamo Baruffaldi, ucciso dai fascisti il 31 luglio 1944, Medaglia d’Argento L’intervista è stata realizzata nel luglio 2019",Non trovato nel Foglio3,#N/A
Aristeo Biancolini,Toscana,M,Chianciano Terme,43.04276,11.82103,"Aristeo Biancolini Nato a Chianciano Terme (SI) l’11 dicembre 1924, studente Formazione Mencatelli, raggruppamento Monte Amiata Sulla sua esperienza Monica Tozzi e Andrea Fantacci hanno scritto il libro “Noi non saremo mai come loro” La sua testimonianza è raccolta anche nel libro “Noi, Partigiani” L’intervista è stata realizzata nel novembre 2019",https://www.noipartigiani.it/aristeo-biancolini/,513409367
Sonja Amf,Friuli V.G.,F,Smarje (TS),45.54534,13.7196,"Sonja Amf Nata il 20 Gennaio 1927 a Smarje (TS) Slovena, è sopravvissuta alle torture che per mesi le sono state inflitte a Villa Triste e in altre carceri Una sua intervista è contenuta nel libro “La cosa giusta-Testimonianze partigiane di donne e uomini resistenti” di Alessandro Fantin L’intervista è stata realizzata nel gennaio 2020",https://www.noipartigiani.it/sonja-amf/,503533968
Gianna Radiconcini,Lazio,F,Roma,41.89332,12.48293,"Gianna Radiconcini Nata a Roma il 27 maggio 1926 Staffetta dei Gap di Roma Militante del Partito d’Azione e poi dei Repubblicani, in Rai è stata la prima donna a diventare corrispondente all’estero (Bruxelles). Sulla sua esperienza ha scritto il libro “Memorie di una militante azionista” La sua testimonianza è raccolta nel libro “Noi, Partigiani”",https://www.noipartigiani.it/gianna-radiconcini/,515369210
Rossana Banti,Lazio,F,Roma,41.89332,12.48293,"Rossana Banti Nata a Roma l’8 Gennaio 1925, studentessa Staffetta dei Gap romani, poi collaboratrice dei Servizi segreti inglesi Per la sua attività, il governo britannico le ha riconosciuto tre diverse onorificenze: la Italy Star, la Victory Medal e la 1939-45 Medal L’intervista è stata realizzata nel gennaio 2020",https://www.noipartigiani.it/rossana-banti/,504841816
Aude Pacchioni,Emilia-R.,F,Soliera (MO),44.7384,10.92211,"Aude Pacchioni Nata a Soliera (MO) il 18 Dicembre 1926, impiegata Nome di battaglia “Mimma” Staffetta, Brigata “Diavolo”",https://www.noipartigiani.it/aude-pacchioni/,524284653
Giuliano Aureli,Lazio,M,Roma,41.89332,12.48293,"Giuliano Aureli Nato a Roma il 26 gennaio 1932 partigiano combattente nell’ VIII zona di Roma, a Torpignattara, con Nino Franchellucci L’intervista è stata realizzata nel luglio 2019",https://www.noipartigiani.it/giuliano-aureli/,504698533
Pino Fumi,Emilia-R.,M,Piacenza,45.05267,9.69187,"Pino Fumi Nato a Piacenza il 14 Giugno 1925, studente 3ª Brigata Giustizia e Libertà, comandante Alberto Araldi “Paolo”, Medaglia d’oro alla memoria",https://www.noipartigiani.it/pino-fumi/,516636249
Gastone Malaguti,Emilia-R.,M,Bologna,44.49367,11.34303,"Gastone Malaguti Nato a Bologna il 20 Luglio 1926 Nome di battaglia “Gas”, “Efistione”, “Il Biondino” Settima GAP di Bologna La sua testimonianza è raccolta nel libro “Noi, Partigiani” L’intervista è stata realizzata nel settembre 2019",https://www.noipartigiani.it/gastone-malaguti/,503751168
Carlo Orlandini,Veneto,M,Trento,46.06642,11.12576,"Carlo Orlandini Nato a Trento il 19 luglio 1927, studente 2ª reggimento SAS Nome di battaglia “Bingo” La sua testimonianza è raccolta nel libro “Noi, Partigiani”",https://www.noipartigiani.it/carlo-orlandini/,524361415
Filippo Pezza,Friuli V.G.,M,Messina,38.19332,15.55356,"Filippo Pezza Nato a Messina il 7 Luglio 1929 Di famiglia slovena, ha combattuto nell’ Istrski Odred (Distaccamento istriano) L’intervista è stata realizzata nel febbraio 2020",https://www.noipartigiani.it/filippo-pezza/,508906728
Alvaro Valsenti,Umbria,M,Terni,42.56416,12.64103,"Alvaro Valsenti Nato a Terni il 26 Ottobre 1924, operaio Ha svolto attività di sabotaggio e reperimento armi",https://www.noipartigiani.it/alvaro-valsenti/,522325872
Mario Vecchia,Piemonte,M,Crescentino (VC),45.19159,8.10153,"Mario Vecchia Nato a Crescentino (Vercelli) il 16 novembre 1925 Nome di battaglia “Mariuccio” Divisione Monferrato, 2ª Brigata È stato prigioniero nel Lager di Bolzano La sua testimonianza è raccolta nel libro “Noi, Partigiani” L’intervista è stata realizzata nel novembre 2019",https://www.noipartigiani.it/mario-vecchia/,509831737
Corrado Giannetti,Emilia-R.,M,M. Grimano (PU),43.8647,12.38318,"Corrado Giannetti Nato a Monte Grimano (PU) il 1 Febbraio 1927, operaio elettricista Nome di battaglia “Lupo” 8ª Brigata Garibaldi Medaglia Brigate Garibaldine 1943-1945",https://www.noipartigiani.it/corrado-giannetti/,523893702
Lidia Greci,Emilia-R.,F,S. Ilario d'Enza,44.76243,10.44786,"Lidia Greci Nata a Sant’Ilario d’Enza (RE) l’8 luglio 1929 Staffetta, Gruppi di Difesa della Donna L’intervista è stata realizzata nel 2019",https://www.noipartigiani.it/lidia-greci/,522863478
Renata S. Salvati,Umbria,F,Terni,42.56416,12.64103,Renata Stefanini Salvati Nata a Terni il 19 ottobre 1920 Staffetta È stata la prima donna candidata dal Pci in consiglio comunale e poi la prima donna assessore Ha raccontato la sua esperienza nel libro “Sono stata una rivoluzionaria di professione”,Non trovato nel Foglio3,#N/A
Massimo Pradella,Lazio,M,Ancona,43.61583,13.51891,"Massimo Pradella Nato ad Ancona il 5 Dicembre 1924, studente Staffetta e Volontario della Libertà Musicista, è stato direttore stabile alla Rai",https://www.noipartigiani.it/massimo-pradella/,509833673
Sergio Lepri,Toscana,M,Firenze,43.76985,11.25557,"Sergio Lepri Nato a Firenze il 24 Settembre 1919, laureato in Filosofia Dirigeva il giornale clandestino dei Liberali “L’Opinione” Dopo la guerra ha avuto un’importante carriera da giornalista L’intervista è stata realizzata nel settembre 2019",https://www.noipartigiani.it/sergio-lepri/,516671239
Sergio Dallatana,Emilia-R.,M,Reggio Emilia,44.69824,10.63125,"Sergio Dallatana Nato a Reggio Emilia il 29 Dicembre 1924, operaio Nome di battaglia “Mario” 47ª Brigata Garibaldi, distaccamento Zinelli e in seguito staffetta di collegamento con la missione inglese La sua testimonianza è raccolta nel libro “Noi, Partigiani” L’intervista è stata realizzata nel luglio 2019",https://www.noipartigiani.it/sergio-dalla-tana/,512978665
Germano Nicolini,Emilia-R.,M,Fabbrico (RE),44.87232,10.80689,"Germano Nicolini Nato a Fabbrico (RE) il 26 novembre 1919, studente Nome di battaglia “Diavolo” Comandante del terzo battaglione della 77ª Brigata Sap “Fratelli Manfredi” Medaglia d’argento al valor militare Ha raccontato la sua esperienza in “Noi sognavamo un mondo diverso” scritto con Massimo Storchi La sua testimonianza è raccolta nel libro “Noi, Partigiani” L’intervista è stata realizzata nel settembre 2019",https://www.noipartigiani.it/germano-nicolini/,518683250
Aldo Tortorella,Liguria,M,Napoli,40.83593,14.24878,"Aldo Tortorella Nato a Napoli il 10 luglio 1926, studente Nome di battaglia “Alessio” Fronte della gioventù di Milano e Genova Dopo la guerra ha diretto “L’Unità” ed è stato a lungo parlamentare del PCI La sua testimonianza è raccolta nel libro “Noi, Partigiani”",https://www.noipartigiani.it/aldo-tortorella/,515370344
Umberto Cialente,Abruzzo,M,Roma,41.89332,12.48293,"Umberto Cialente Nato a Roma il 4 marzo 1926, studente Gap a L’Aquila e Banda della Duchessa Croce al merito di guerra La sua testimonianza è raccolta nel libro “Noi, Partigiani” L’intervista è stata realizzata nel novembre 2019",https://www.noipartigiani.it/umberto-cialente/,509869950
Angelica Villa,Lombardia,F,Vimercate (MB),45.61258,9.36941,"Angelica Villa Nata a Vimercate (MB) il 12 Settembre 1927, operaia Staffetta Nome di battaglia “Sara” (con la sorella Paola)",https://www.noipartigiani.it/paola-e-angelica-villa/,520899554
Otello Palmieri,Emilia-R.,M,Grizzana M. (BO),44.25834,11.15267,"Otello Palmieri Nato a Grizzana Morandi (BO) l’8 Aprile 1927, muratore Nome di battaglia “Battagliero” 63ª Brigata Garibaldi “Bolero” Sulla sua vicenda, Alfredo Mignini ed Enrico Pontieri hanno scritto il libro “Qualcosa di meglio-Biografia partigiana di Otello Palmieri” La sua testimonianza è raccolta nel libro “Noi, Partigiani” L’intervista è stata realizzata nel novembre 2019",https://www.noipartigiani.it/otello-palmieri/,519117106
Antonio Amoretti,Campania,M,Napoli,40.83593,14.24878,"Antonio Amoretti Nato a Napoli l’11 settembre 1927, studente Nome di battaglia “Tonino il biondo” Ha partecipato alle Quattro Giornate di Napoli dal 27 al 30 settembre 1943 La sua testimonianza è raccolta nel libro “Noi, Partigiani” L’intervista è stata realizzata nel novembre 2019",https://www.noipartigiani.it/antonio-amoretti/,503560211
Aimaro Isola,Piemonte,M,Torino,45.06775,7.68249,"Aimaro Isola Nato a Torino il 14 Gennaio 1928, studente Nome di battaglia “Maro”, ha partecipato alla liberazione di Torino Nel castello di Bagnolo la famiglia ospitava il comando di Pompeo Colajanni, “Barbato” La sorella Leletta teneva un diario che ha pubblicato, “Il diario di Leletta- Lettera a Barbato e cronache partigiane dal 1943 al 1945”",https://www.noipartigiani.it/aimaro-isola/,521397080
Maria Cavatassi,Marche,F,Comunanza (AP),42.95621,13.41183,"Maria Santiloni Cavatassi Nata a Comunanza (AP) il 23 novembre 1928, contadina Staffetta Nel dopoguerra ha fatto la sindacalista di mezzadri e braccianti La sua testimonianza è raccolta nel libro “Noi, Partigiani” L’intervista è stata realizzata nell’ottobre 2019",https://www.noipartigiani.it/maria-cavatassi/,508767262
Nina Bardelle,Liguria,F,Pinasca (TO),44.89341,7.22875,"Nina Bardelle Nata a Pinasca (TO) il 5 Luglio 1926, operaia Nome di battaglia “Fioretto” Staffetta nei Sap a Genova L’intervista è stata realizzata nel 2017",https://www.noipartigiani.it/bardelle-nina/,505154094
Lucio Tomalino,Liguria,M,Vernazza (SP),44.13545,9.68312,"Lucio Tomalino Nato a Vernazza (SP) il 4 Marzo 1926, studente Nome di battaglia “Vetta” 2ª Divisione Autonoma Langhe, Brigata Rocca d’Arazzo",https://www.noipartigiani.it/lucio-tomalino/,519993217
Bruno Bertoldi,Trentino-A.,M,Mitteldorf (A),47.01632,12.61052,"Bruno Bertoldi Nato a Mitteldorf (Austria) il 23 ottobre 1918 IMI Sergente della divisione Acqui a Cefalonia. Deportato a Minsk e detenuto a Tambov e Turkestan. La sua vicenda è raccontata nei libri di Antonio Testini e Filippo Boni. La sua testimonianza è raccolta nel libro “Noi, Partigiani”",https://www.noipartigiani.it/bruno-bertoldi/,507521349
Mario Ghiglione,Liguria,M,Genova,44.40726,8.93386,"Mario Ghiglione Nato a Genova il 16 settembre 1928 Nome di battaglia “Aria” 2ª Divisione Langhe, 3ª Brigata Garibaldi “Liguria” Sulla sua vicenda di sopravvissuto all’eccidio di Olbicella, Giancarlo Mulà ha scritto il libro “Il giorno che verrà” La sua testimonianza è raccolta nel libro “Noi, Partigiani”",https://www.noipartigiani.it/mario-ghiglione/,510766381
Angelo Del Boca,Piemonte,M,Novara,45.4465,8.62135,"Angelo Del Boca Nato a Novara il 3 maggio 1925, studente Nome di battaglia “Tenente Angelo” 7ª Brigata alpina della 1ª divisione Giustizia e Libertà Piacenza Nel dopoguerra è stato giornalista e storico e sulla sua esperienza partigiana ha scritto il libro “Nella notte ci guidano le stelle” L’intervista è stata realizzata nel febbraio 2020",https://www.noipartigiani.it/angelo-del-boca/,515352078
Bruno Segre,Piemonte,M,Torino,45.06775,7.68249,"Bruno Segre Nato a Torino il 4 settembre 1918, avvocato Nome di battaglia “Elio” 1ª divisione alpina Giustizia e Libertà “Aldo Baccini” Dal 1949 ha diretto il mensile “L’Incontro”. Sulla sua vicenda ha scritto il libro “Quelli di Via Asti” La sua testimonianza è raccolta nel libro “Noi, Partigiani”",https://www.noipartigiani.it/bruno-segre/,506053909
Eligio Everri,Emilia-R.,M,Travo (PC),44.86223,9.54356,"Eligio Everri Nato a Travo (PC) il 18 settembre 1921, contadino 4ª Brigata Giustizia e Libertà La sua testimonianza è raccolta nel libro “Noi, Partigiani”",https://www.noipartigiani.it/eligio-everri/,511071289
Gustavo Ottolenghi,Piemonte,M,Torino,45.06775,7.68249,"Gustavo Ottolenghi Nato a Torino il 5 agosto 1932 Nome di battaglia “Robin” 7ª divisione Monferrato, Brigata Tumino Medico, ha partecipato alla Guerra dei Sei Giorni e ha scritto libri di Storia Contemporanea La sua testimonianza è raccolta nel libro “Noi, Partigiani”",https://www.noipartigiani.it/gustavo-ottolenghi/,504904475
Primo Sammarchi,Lombardia,M,Milano,45.46419,9.18963,"Primo Sammarchi Nato a Milano il 2 gennaio 1933 Nome di battaglia “Pinela” Staffetta insieme con la madre Nel dopoguerra vigile del fuoco come il fratello Elio “Eliot”, ucciso nel 1944. La sua testimonianza è raccolta nel libro “Noi, Partigiani” L’intervista è stata realizzata nel novembre 2019",https://www.noipartigiani.it/primo-sammarchi/,512606136
Michele Montagano,Molise,M,Casacalenda (CB),41.73147,14.84786,"Michele Montagano Nato a Casacalenda (CB) il 27 ottobre 1921 Ufficiale della divisione Acqui IMI Sulla vicenda dei 44 ufficiali che sfidarono i nazisti Andrea Parodi ha scritto “Gli eroi di Unterlüss” La sua testimonianza è raccolta nel libro “Noi, Partigiani”",https://www.noipartigiani.it/michele-montagano/,503747749
